video_id,verdict,manipulation_score,mean_score,median_score,max_score,std_score,consistency,frame_coverage,average_face_quality,reliability,evidence_confidence,sampled_frames,usable_frames
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
01_02__meeting_serious__YVGY8LOK,INCONCLUSIVE,0.5333885550498962,0.5248754641588996,0.5333885550498962,0.6945984959602356,0.0841189262079913,0.5431272170631402,0.9770114942528736,0.472875319591774,0.6703985499645686,0.3575829138731469,87,85
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
test_video,INCONCLUSIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
001,INCONCLUSIVE,0.5607248544692993,0.5478619509018384,0.5607248544692993,0.8461073637008667,0.133344104931442,0.4285516449167662,1.0,0.7172927511371663,0.7296179563730381,0.4091149224054593,39,39
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.5846778731769867,1.0,0.8811931294202804,0.8338209572501941,0.3805007241754826,33,33
001,INCONCLUSIVE,0.5607248544692993,0.5478619509018384,0.5607248544692993,0.8461073637008667,0.133344104931442,0.4285516449167662,1.0,0.7172927511371663,0.7296179563730381,0.4091149224054593,39,39
001,INCONCLUSIVE,0.5607248544692993,0.5478619509018384,0.5607248544692993,0.8461073637008667,0.133344104931442,0.4285516449167662,1.0,0.7172927511371663,0.7296179563730381,0.4091149224054593,39,39
001,INCONCLUSIVE,0.5607248544692993,0.5478619509018384,0.5607248544692993,0.8461073637008667,0.133344104931442,0.4285516449167662,1.0,0.7172927511371663,0.7296179563730381,0.4091149224054593,39,39
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.5846778731769867,1.0,0.8811931294202804,0.8338209572501941,0.3805007241754826,33,33
001,INCONCLUSIVE,0.5607248544692993,0.5478619509018384,0.5607248544692993,0.8461073637008667,0.133344104931442,0.4285516449167662,1.0,0.7172927511371663,0.7296179563730381,0.4091149224054593,39,39
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.8578635402899881,1.0,0.8811931294202804,0.9157766573840944,0.4178998840072266,33,33
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.8578635402899881,1.0,0.8811931294202804,0.9157766573840944,0.4178998840072266,33,33
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.8578635402899881,1.0,0.8811931294202804,0.9157766573840944,0.4178998840072266,33,33
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.8578635402899881,1.0,0.8811931294202804,0.9157766573840944,0.4178998840072266,33,33
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.8578635402899881,1.0,0.8811931294202804,0.9157766573840944,0.4178998840072266,33,33
000_003,LIKELY_DEEPFAKE,0.9252958297729492,0.8948095079624292,0.9252958297729492,0.9864908456802368,0.0860088942679891,0.8283524329622138,1.0,0.8931960259964972,0.9111243389874382,0.8430595512697114,33,33
01_04__walk_down_hall_angry__GBC7ZGDP,LIKELY_DEEPFAKE,0.979483127593994,0.9513566529049592,0.979483127593994,0.9979885816574096,0.0724526846279258,0.8582949145893672,0.8947368421052632,0.5572273318994307,0.765675935278453,0.7499666598099958,19,17
mixkit-portrait-of-an-influencer-talking-to-the-camera-42323-hd-ready,LIKELY_DEEPFAKE,0.53825443983078,0.5722977194715949,0.5434633791446686,0.9236412048339844,0.0958029989089581,0.8093196510615975,1.0,0.8992735848707312,0.9075416500232352,0.4884883224563582,34,34
02_18__walk_down_hall_angry__B95S4G6F,LIKELY_DEEPFAKE,0.9590914249420166,0.9314402972950656,0.9590914249420166,0.978195309638977,0.0674275461809015,0.8714343937810187,0.8947368421052632,0.6194215325958945,0.7913857492797107,0.7590112859554833,19,17
mixkit-portrait-of-an-influencer-talking-to-the-camera-42323-hd-ready,INCONCLUSIVE,0.53825443983078,0.5722977194715949,0.5434633791446686,0.9236412048339844,0.0958029989089581,0.8093196510615975,1.0,0.8992735848707312,0.9075416500232352,0.4884883224563582,34,34
mixkit-portrait-of-an-influencer-talking-to-the-camera-42323-hd-ready,INCONCLUSIVE,0.53825443983078,0.5722977194715949,0.5434633791446686,0.9236412048339844,0.0958029989089581,0.8093196510615975,1.0,0.8992735848707312,0.9075416500232352,0.4884883224563582,34,34
000,INCONCLUSIVE,0.4563338458538055,0.4428809212915825,0.4563338458538055,0.5581675171852112,0.0710343500030643,0.8578635402899881,1.0,0.8811931294202804,0.9157766573840944,0.4178998840072266,33,33
